filial_venda;ano_mes;venda_mensal;venda_anterior;crescimento_percentual;crescimento_percentual_br;rank_crescimento
275;2023-01;72209.51;74700.03;-3.33;-3,33;5
277;2022-11;77011.41;46814.75;64.5;64,50;1
277;2023-03;50475.72;37178.06;35.77;35,77;2
277;2023-05;63560.3;53264.32;19.33;19,33;3
277;2023-04;53264.32;50475.72;5.52;5,52;4
277;2022-08;69028.81;68320.33;1.04;1,04;5
278;2023-05;152344.45;92055.86;65.49;65,49;1
278;2022-11;167364.04;128525.4;30.22;30,22;2
278;2023-03;125571.9;106130.99;18.32;18,32;3
278;2022-10;128525.4;122564.44;4.86;4,86;4
278;2022-08;126308.45;127064.95;-0.6;-0,60;5
280;2022-11;223312.47;159075.78;40.38;40,38;1
280;2022-10;159075.78;129965.81;22.4;22,40;2
280;2023-05;181150.68;152547.04;18.75;18,75;3
280;2023-03;196166.72;172529.14;13.7;13,70;4
280;2023-06;181547.5;181150.68;0.22;0,22;5
281;2022-11;54184.45;37707.07;43.7;43,70;1
281;2023-03;56507.71;39629.49;42.59;42,59;2
281;2023-05;61650.44;48078.4;28.23;28,23;3
281;2022-08;45539.32;40241.48;13.17;13,17;4
281;2022-12;60965.01;54184.45;12.51;12,51;5
282;2022-11;174660.51;116538.14;49.87;49,87;1
282;2022-10;116538.14;91756.11;27.01;27,01;2
282;2023-05;91808.85;81709.77;12.36;12,36;3
282;2023-04;81709.77;72955.38;12.0;12,00;4
282;2022-09;91756.11;85950.13;6.76;6,76;5
284;2022-11;57329.84;32965.79;73.91;73,91;1
284;2023-05;58063.12;35421.75;63.92;63,92;2
284;2023-04;35421.75;25557.39;38.6;38,60;3
284;2023-02;42399.52;38858.77;9.11;9,11;4
284;2022-10;32965.79;31579.01;4.39;4,39;5
285;2023-05;88384.21;49656.55;77.99;77,99;1
285;2022-10;84842.93;56784.01;49.41;49,41;2
285;2023-03;82139.42;61654.23;33.23;33,23;3
285;2022-11;99934.25;84842.93;17.79;17,79;4
285;2023-01;88018.37;91814.98;-4.14;-4,14;5
287;2022-11;53628.02;37747.96;42.07;42,07;1
287;2022-12;70094.86;53628.02;30.71;30,71;2
287;2023-03;47498.31;37153.53;27.84;27,84;3
287;2023-05;63170.88;54087.58;16.79;16,79;4
287;2022-09;46502.77;40376.3;15.17;15,17;5
288;2022-11;189570.68;113150.25;67.54;67,54;1
288;2023-03;135444.75;92417.08;46.56;46,56;2
288;2023-05;122931.33;85493.0;43.79;43,79;3
288;2023-06;149872.28;122931.33;21.92;21,92;4
288;2022-10;113150.25;100796.63;12.26;12,26;5
289;2023-05;61316.88;34094.97;79.84;79,84;1
289;2023-02;52212.31;33282.91;56.87;56,87;2
289;2022-11;68124.27;49569.05;37.43;37,43;3
289;2022-10;49569.05;36688.57;35.11;35,11;4
289;2022-09;36688.57;36200.07;1.35;1,35;5
290;2022-11;168667.34;103044.1;63.68;63,68;1
290;2023-05;124277.37;84923.91;46.34;46,34;2
290;2023-03;99041.87;76598.32;29.3;29,30;3
290;2022-10;103044.1;92469.87;11.44;11,44;4
290;2022-09;92469.87;101014.71;-8.46;-8,46;5
291;2023-03;54740.59;30022.4;82.33;82,33;1
291;2023-05;69838.44;40450.93;72.65;72,65;2
291;2022-12;115635.36;83812.84;37.97;37,97;3
291;2022-11;83812.84;67175.2;24.77;24,77;4
291;2022-09;69679.04;65986.82;5.6;5,60;5
292;2022-11;203205.14;113192.06;79.52;79,52;1
292;2022-10;113192.06;85493.03;32.4;32,40;2
292;2023-03;127882.27;105975.36;20.67;20,67;3
292;2023-05;118525.83;114073.32;3.9;3,90;4
292;2022-12;201196.59;203205.14;-0.99;-0,99;5
293;2022-11;40981.64;22541.65;81.8;81,80;1
293;2023-03;46955.08;34566.52;35.84;35,84;2
293;2022-08;38034.41;28912.57;31.55;31,55;3
293;2023-05;41676.36;35883.36;16.14;16,14;4
293;2022-12;43953.37;40981.64;7.25;7,25;5
294;2022-11;71262.89;53560.39;33.05;33,05;1
294;2022-10;53560.39;46909.9;14.18;14,18;2
294;2023-03;59408.21;52838.16;12.43;12,43;3
294;2023-02;52838.16;49212.02;7.37;7,37;4
294;2023-05;56976.1;54945.25;3.7;3,70;5
295;2022-11;100327.35;60480.64;65.88;65,88;1
295;2023-03;48260.28;34110.46;41.48;41,48;2
295;2023-06;57520.17;48711.21;18.08;18,08;3
295;2023-05;48711.21;43813.6;11.18;11,18;4
295;2022-10;60480.64;54535.51;10.9;10,90;5
296;2023-05;61617.15;42469.59;45.09;45,09;1
296;2022-12;75192.73;63443.8;18.52;18,52;2
296;2023-03;54299.83;48414.57;12.16;12,16;3
296;2023-06;67039.18;61617.15;8.8;8,80;4
296;2022-09;57221.03;53240.28;7.48;7,48;5
297;2022-11;113513.4;52068.01;118.01;118,01;1
297;2023-06;71277.53;56065.56;27.13;27,13;2
297;2022-10;52068.01;45786.84;13.72;13,72;3
297;2023-03;56277.13;52434.49;7.33;7,33;4
297;2023-05;56065.56;53604.21;4.59;4,59;5
298;2022-11;76498.45;44626.74;71.42;71,42;1
298;2023-05;67322.28;47722.66;41.07;41,07;2
298;2022-10;44626.74;37311.84;19.6;19,60;3
298;2023-03;58209.66;48767.51;19.36;19,36;4
298;2022-12;74582.31;76498.45;-2.5;-2,50;5
299;2023-05;47172.16;29474.7;60.04;60,04;1
299;2023-02;33526.85;22322.78;50.19;50,19;2
299;2023-03;47185.89;33526.85;40.74;40,74;3
299;2022-10;56935.43;42387.97;34.32;34,32;4
299;2022-11;57689.77;56935.43;1.32;1,32;5
300;2023-03;88143.8;48841.07;80.47;80,47;1
300;2022-11;99004.28;66851.78;48.1;48,10;2
300;2023-06;101742.51;82749.74;22.95;22,95;3
300;2022-09;75057.22;62721.97;19.67;19,67;4
300;2023-05;82749.74;76268.06;8.5;8,50;5
301;2022-11;125012.64;77399.29;61.52;61,52;1
301;2023-03;100162.56;92920.31;7.79;7,79;2
301;2023-05;90298.44;91351.11;-1.15;-1,15;3
301;2022-12;123490.95;125012.64;-1.22;-1,22;4
301;2022-10;77399.29;83207.14;-6.98;-6,98;5
303;2023-04;21653.04;11997.38;80.48;80,48;1
303;2023-06;22944.0;15404.67;48.94;48,94;2
303;2022-09;22099.8;17231.91;28.25;28,25;3
303;2023-03;11997.38;9885.35;21.37;21,37;4
303;2022-10;26154.36;22099.8;18.35;18,35;5
304;2022-11;60118.52;33885.44;77.42;77,42;1
304;2023-05;52056.52;37770.29;37.82;37,82;2
304;2022-09;34594.4;32562.99;6.24;6,24;3
304;2023-01;47659.91;45874.38;3.89;3,89;4
304;2023-03;39200.62;38837.03;0.94;0,94;5
305;2023-04;29412.2;20192.79;45.66;45,66;1
305;2022-09;35347.89;26504.16;33.37;33,37;2
305;2023-05;37827.21;29412.2;28.61;28,61;3
305;2022-10;42174.34;35347.89;19.31;19,31;4
305;2023-06;43666.02;37827.21;15.44;15,44;5
306;2022-11;189855.99;150164.94;26.43;26,43;1
306;2023-06;157661.54;133387.16;18.2;18,20;2
306;2023-01;151915.04;128989.65;17.77;17,77;3
306;2023-03;158573.55;141759.32;11.86;11,86;4
306;2022-10;150164.94;144064.65;4.23;4,23;5
307;2023-05;75951.85;59246.55;28.2;28,20;1
307;2022-11;82771.83;68329.89;21.14;21,14;2
307;2023-03;73896.09;62186.72;18.83;18,83;3
307;2022-08;77272.67;73329.17;5.38;5,38;4
307;2022-09;80482.84;77272.67;4.15;4,15;5
308;2023-04;16448.45;10748.91;53.02;53,02;1
308;2023-05;23687.95;16448.45;44.01;44,01;2
308;2022-10;25456.02;18402.43;38.33;38,33;3
308;2023-06;28573.63;23687.95;20.63;20,63;4
308;2022-09;18402.43;15828.44;16.26;16,26;5
309;2023-05;25458.72;16572.12;53.62;53,62;1
309;2023-03;13956.25;9113.29;53.14;53,14;2
309;2022-08;30024.66;21661.35;38.61;38,61;3
309;2022-12;33931.81;27664.35;22.66;22,66;4
309;2023-04;16572.12;13956.25;18.74;18,74;5
310;2023-05;54216.97;35208.08;53.99;53,99;1
310;2022-11;91020.19;59478.38;53.03;53,03;2
310;2023-03;49452.96;36220.27;36.53;36,53;3
310;2022-10;59478.38;49274.64;20.71;20,71;4
310;2022-08;79325.25;72435.72;9.51;9,51;5
312;2022-11;46679.14;30478.96;53.15;53,15;1
312;2023-03;30308.22;23042.39;31.53;31,53;2
312;2023-06;35555.95;27767.12;28.05;28,05;3
312;2023-01;29773.6;26737.17;11.36;11,36;4
312;2022-08;27042.95;24758.59;9.23;9,23;5
313;2022-11;57912.51;20059.98;188.7;188,70;1
313;2023-03;42898.46;26963.24;59.1;59,10;2
313;2022-10;20059.98;21593.36;-7.1;-7,10;3
313;2023-01;33678.29;37185.88;-9.43;-9,43;4
313;2023-06;18384.9;20870.89;-11.91;-11,91;5
314;2022-11;143795.98;87658.12;64.04;64,04;1
314;2023-05;109672.58;79710.0;37.59;37,59;2
314;2023-03;83018.88;74505.34;11.43;11,43;3
314;2022-10;87658.12;86018.46;1.91;1,91;4
314;2023-04;79710.0;83018.88;-3.99;-3,99;5
315;2023-05;57615.3;36707.24;56.96;56,96;1
315;2022-11;64786.62;54402.02;19.09;19,09;2
315;2023-03;50556.7;43299.85;16.76;16,76;3
315;2022-10;54402.02;47265.09;15.1;15,10;4
315;2022-12;66601.91;64786.62;2.8;2,80;5
316;2023-05;40424.83;20377.19;98.38;98,38;1
316;2022-12;53862.42;33348.09;61.52;61,52;2
316;2022-10;39089.66;32723.0;19.46;19,46;3
316;2023-02;40856.66;34929.23;16.97;16,97;4
316;2023-03;41779.01;40856.66;2.26;2,26;5
317;2023-02;59367.53;38746.35;53.22;53,22;1
317;2023-04;67517.35;50496.9;33.71;33,71;2
317;2022-11;67753.6;50952.65;32.97;32,97;3
317;2022-12;82494.55;67753.6;21.76;21,76;4
317;2022-10;50952.65;47210.64;7.93;7,93;5
318;2023-05;115075.05;75240.9;52.94;52,94;1
318;2022-11;108710.35;79762.39;36.29;36,29;2
318;2023-03;75768.48;62714.45;20.82;20,82;3
318;2022-09;82799.26;81270.77;1.88;1,88;4
318;2023-04;75240.9;75768.48;-0.7;-0,70;5
319;2023-05;58041.29;21047.08;175.77;175,77;1
319;2022-10;21774.48;8360.94;160.43;160,43;2
319;2023-03;32739.76;18029.1;81.59;81,59;3
319;2023-02;18029.1;16775.59;7.47;7,47;4
319;2023-01;16775.59;16062.43;4.44;4,44;5
320;2022-11;94409.97;64734.34;45.84;45,84;1
320;2023-03;75641.12;52279.07;44.69;44,69;2
320;2023-05;76056.69;55377.86;37.34;37,34;3
320;2023-06;95775.97;76056.69;25.93;25,93;4
320;2022-10;64734.34;64311.63;0.66;0,66;5
321;2022-11;45017.62;29909.98;50.51;50,51;1
321;2023-05;39698.49;30752.51;29.09;29,09;2
321;2022-10;29909.98;25705.44;16.36;16,36;3
321;2022-09;25705.44;23337.59;10.15;10,15;4
321;2023-03;29872.63;28920.94;3.29;3,29;5
322;2023-03;34954.5;25000.11;39.82;39,82;1
322;2023-05;34937.15;27931.77;25.08;25,08;2
322;2022-11;48948.65;42702.22;14.63;14,63;3
322;2022-10;42702.22;38879.99;9.83;9,83;4
322;2022-08;41989.61;40933.31;2.58;2,58;5
323;2022-10;38246.67;23210.09;64.78;64,78;1
323;2023-05;34275.99;24566.34;39.52;39,52;2
323;2023-03;25767.86;19868.31;29.69;29,69;3
323;2022-11;43207.52;38246.67;12.97;12,97;4
323;2022-08;36191.17;35860.15;0.92;0,92;5
324;2022-10;109270.13;79560.43;37.34;37,34;1
324;2022-11;131069.21;109270.13;19.95;19,95;2
324;2023-03;92623.13;77598.43;19.36;19,36;3
324;2023-01;115126.14;97258.66;18.37;18,37;4
324;2023-05;113642.48;97791.58;16.21;16,21;5
325;2022-11;65254.9;40441.86;61.35;61,35;1
325;2023-05;54321.37;39413.72;37.82;37,82;2
325;2022-10;40441.86;35229.06;14.8;14,80;3
325;2023-03;37444.39;33763.43;10.9;10,90;4
325;2023-04;39413.72;37444.39;5.26;5,26;5
326;2022-11;51068.52;24402.43;109.28;109,28;1
326;2023-06;67452.56;52200.68;29.22;29,22;2
326;2023-04;56344.28;43892.78;28.37;28,37;3
326;2023-03;43892.78;34936.22;25.64;25,64;4
326;2022-09;34939.32;32739.57;6.72;6,72;5
327;2022-11;151997.92;95164.52;59.72;59,72;1
327;2023-03;98628.58;85369.26;15.53;15,53;2
327;2022-10;95164.52;89291.23;6.58;6,58;3
327;2022-09;89291.23;93786.09;-4.79;-4,79;4
327;2023-05;78460.3;85967.56;-8.73;-8,73;5
328;2023-03;85692.93;63131.04;35.74;35,74;1
328;2022-11;114366.74;87606.3;30.55;30,55;2
328;2022-10;87606.3;69431.76;26.18;26,18;3
328;2023-04;99393.9;85692.93;15.99;15,99;4
328;2023-06;107210.61;98867.56;8.44;8,44;5
329;2022-11;53613.67;35275.5;51.99;51,99;1
329;2022-10;35275.5;23234.04;51.83;51,83;2
329;2023-03;37185.62;30473.72;22.03;22,03;3
329;2023-05;32584.53;27214.68;19.73;19,73;4
329;2023-06;36000.75;32584.53;10.48;10,48;5
330;2022-11;105682.56;66276.19;59.46;59,46;1
330;2023-03;56320.37;42187.05;33.5;33,50;2
330;2023-04;66528.44;56320.37;18.13;18,13;3
330;2022-10;66276.19;57779.33;14.71;14,71;4
330;2023-05;75468.13;66528.44;13.44;13,44;5
331;2023-05;39143.9;22244.21;75.97;75,97;1
331;2022-11;31206.15;19262.83;62.0;62,00;2
331;2023-03;30582.05;20191.28;51.46;51,46;3
331;2022-12;33770.82;31206.15;8.22;8,22;4
331;2022-09;24035.02;23233.9;3.45;3,45;5
332;2023-03;36479.44;22381.52;62.99;62,99;1
332;2022-09;34431.49;26666.54;29.12;29,12;2
332;2022-10;42679.84;34431.49;23.96;23,96;3
332;2023-01;39415.01;35377.55;11.41;11,41;4
332;2022-11;45127.75;42679.84;5.74;5,74;5
333;2022-11;93906.87;60947.38;54.08;54,08;1
333;2022-10;60947.38;43545.63;39.96;39,96;2
333;2023-05;64000.41;50894.31;25.75;25,75;3
333;2023-03;51973.05;47013.41;10.55;10,55;4
333;2023-04;50894.31;51973.05;-2.08;-2,08;5
334;2022-11;203489.81;123632.4;64.59;64,59;1
334;2023-05;135492.97;94959.56;42.68;42,68;2
334;2023-03;112238.07;95662.49;17.33;17,33;3
334;2022-10;123632.4;107398.67;15.12;15,12;4
334;2023-06;139340.3;135492.97;2.84;2,84;5
335;2022-11;45920.57;21031.51;118.34;118,34;1
335;2022-08;34858.63;19515.74;78.62;78,62;2
335;2023-05;30441.66;28620.2;6.36;6,36;3
335;2023-03;27603.1;26278.72;5.04;5,04;4
335;2023-04;28620.2;27603.1;3.68;3,68;5
336;2022-11;53825.96;38690.39;39.12;39,12;1
336;2023-03;40571.99;31371.19;29.33;29,33;2
336;2022-10;38690.39;29979.79;29.05;29,05;3
336;2023-06;34258.89;27635.16;23.97;23,97;4
336;2022-09;29979.79;30209.74;-0.76;-0,76;5
337;2022-10;44596.49;36217.02;23.14;23,14;1
337;2023-03;33226.79;27700.76;19.95;19,95;2
337;2023-04;39730.45;33226.79;19.57;19,57;3
337;2022-11;51140.42;44596.49;14.67;14,67;4
337;2023-01;46845.38;41730.24;12.26;12,26;5
342;2022-10;133821.68;107930.39;23.99;23,99;1
342;2022-11;158806.53;133821.68;18.67;18,67;2
342;2023-06;106942.89;96244.66;11.12;11,12;3
342;2023-03;90008.57;81704.6;10.16;10,16;4
342;2023-01;132508.59;120293.09;10.15;10,15;5
343;2022-08;96484.62;37705.85;155.89;155,89;1
343;2023-03;100679.64;74659.18;34.85;34,85;2
343;2022-11;120097.11;95090.26;26.3;26,30;3
343;2022-10;95090.26;77967.1;21.96;21,96;4
343;2023-06;96512.51;95563.92;0.99;0,99;5
344;2022-11;122633.83;87469.68;40.2;40,20;1
344;2023-04;96957.94;80358.34;20.66;20,66;2
344;2022-10;87469.68;72883.06;20.01;20,01;3
344;2023-05;109381.17;96957.94;12.81;12,81;4
344;2023-02;88238.76;82470.4;6.99;6,99;5
346;2022-11;110928.5;76979.38;44.1;44,10;1
346;2023-03;100196.23;71561.45;40.01;40,01;2
346;2023-05;82526.95;61658.01;33.85;33,85;3
346;2022-09;93083.78;77444.52;20.19;20,19;4
346;2023-01;91346.71;85555.52;6.77;6,77;5
348;2022-11;183387.53;126729.13;44.71;44,71;1
348;2023-05;151262.89;123377.15;22.6;22,60;2
348;2022-10;126729.13;108092.9;17.24;17,24;3
348;2023-03;129182.25;110711.91;16.68;16,68;4
348;2023-06;159278.47;151262.89;5.3;5,30;5
349;2023-01;30975.5;19005.44;62.98;62,98;1
349;2022-11;50425.75;32498.91;55.16;55,16;2
349;2023-04;48343.77;32510.2;48.7;48,70;3
349;2022-09;30719.16;28132.8;9.19;9,19;4
349;2022-10;32498.91;30719.16;5.79;5,79;5
350;2022-10;299280.84;222163.46;34.71;34,71;1
350;2023-03;216244.86;176360.08;22.62;22,62;2
350;2023-05;247449.43;211509.82;16.99;16,99;3
350;2022-11;318874.62;299280.84;6.55;6,55;4
350;2023-06;246916.09;247449.43;-0.22;-0,22;5
351;2022-10;66411.37;43536.66;52.54;52,54;1
351;2023-04;62924.79;48788.42;28.97;28,97;2
351;2023-03;48788.42;38204.79;27.7;27,70;3
351;2022-12;87950.91;71512.57;22.99;22,99;4
351;2022-11;71512.57;66411.37;7.68;7,68;5
352;2023-06;109992.86;90074.56;22.11;22,11;1
352;2022-09;98565.6;84409.7;16.77;16,77;2
352;2022-10;113720.55;98565.6;15.38;15,38;3
352;2023-01;99249.28;95398.19;4.04;4,04;4
352;2023-02;102548.98;99249.28;3.32;3,32;5
354;2022-10;52876.8;32981.98;60.32;60,32;1
354;2022-11;73351.9;52876.8;38.72;38,72;2
354;2023-01;66360.58;50613.95;31.11;31,11;3
354;2023-06;44621.45;40840.77;9.26;9,26;4
354;2023-04;43722.77;40471.59;8.03;8,03;5
355;2022-11;182948.92;147415.22;24.1;24,10;1
355;2022-10;147415.22;120577.97;22.26;22,26;2
355;2022-09;120577.97;106072.59;13.67;13,67;3
355;2023-04;143220.33;126406.11;13.3;13,30;4
355;2023-05;157680.07;143220.33;10.1;10,10;5
356;2023-03;254802.08;187952.77;35.57;35,57;1
356;2022-11;334188.55;263047.6;27.04;27,04;2
356;2022-10;263047.6;211710.48;24.25;24,25;3
356;2023-05;285444.83;262912.66;8.57;8,57;4
356;2023-04;262912.66;254802.08;3.18;3,18;5
357;2022-10;91086.77;63626.13;43.16;43,16;1
357;2022-11;118899.33;91086.77;30.53;30,53;2
357;2023-03;95473.7;85472.95;11.7;11,70;3
357;2023-05;81514.11;80007.5;1.88;1,88;4
357;2023-06;80906.5;81514.11;-0.75;-0,75;5
358;2023-03;136033.02;93202.17;45.95;45,95;1
358;2022-10;99510.71;76753.88;29.65;29,65;2
358;2023-05;115915.25;90295.2;28.37;28,37;3
358;2022-11;118426.38;99510.71;19.01;19,01;4
358;2023-02;93202.17;84944.15;9.72;9,72;5
360;2022-09;146971.03;117163.6;25.44;25,44;1
360;2023-01;170288.45;139762.21;21.84;21,84;2
360;2023-03;141103.14;118530.62;19.04;19,04;3
360;2023-05;146780.37;132273.21;10.97;10,97;4
360;2022-10;153715.42;146971.03;4.59;4,59;5
361;2022-10;37877.45;20182.11;87.68;87,68;1
361;2022-11;50334.88;37877.45;32.89;32,89;2
361;2023-05;40115.82;34146.54;17.48;17,48;3
361;2023-06;45030.47;40115.82;12.25;12,25;4
361;2023-01;44503.17;39894.21;11.55;11,55;5
363;2023-03;398163.65;304916.53;30.58;30,58;1
363;2022-11;415997.77;327521.67;27.01;27,01;2
363;2022-10;327521.67;271909.42;20.45;20,45;3
363;2023-01;321490.13;312113.36;3.0;3,00;4
363;2023-06;325385.67;319261.42;1.92;1,92;5
364;2022-11;266784.44;203660.81;30.99;30,99;1
364;2022-10;203660.81;156730.6;29.94;29,94;2
364;2023-05;188888.13;161229.77;17.15;17,15;3
364;2023-02;193619.77;175912.67;10.07;10,07;4
364;2022-09;156730.6;154532.47;1.42;1,42;5
365;2023-03;102174.82;81227.84;25.79;25,79;1
365;2022-10;98295.97;78333.24;25.48;25,48;2
365;2023-06;89616.58;76752.27;16.76;16,76;3
365;2023-01;98681.2;90670.43;8.84;8,84;4
365;2022-11;97390.73;98295.97;-0.92;-0,92;5
366;2022-10;191926.15;141952.19;35.2;35,20;1
366;2022-11;242711.78;191926.15;26.46;26,46;2
366;2023-04;194617.11;163193.26;19.26;19,26;3
366;2023-06;201949.31;181421.31;11.32;11,32;4
366;2023-03;163193.26;162970.28;0.14;0,14;5
367;2022-11;164511.06;129632.95;26.91;26,91;1
367;2022-10;129632.95;110810.86;16.99;16,99;2
367;2023-03;120539.49;105663.96;14.08;14,08;3
367;2023-06;132066.77;120621.36;9.49;9,49;4
367;2023-05;120621.36;118283.63;1.98;1,98;5
368;2023-03;36390.96;21425.21;69.85;69,85;1
368;2022-10;41948.78;29084.61;44.23;44,23;2
368;2023-06;49323.85;36202.14;36.25;36,25;3
368;2023-05;36202.14;26684.49;35.67;35,67;4
368;2022-11;54575.26;41948.78;30.1;30,10;5
369;2022-11;49363.46;27482.89;79.62;79,62;1
369;2023-01;51865.75;37503.0;38.3;38,30;2
369;2023-04;39681.59;31601.56;25.57;25,57;3
369;2023-06;38209.38;33860.4;12.84;12,84;4
369;2022-08;38003.47;38846.74;-2.17;-2,17;5
370;2022-11;291871.4;210719.22;38.51;38,51;1
370;2023-05;205097.84;171288.65;19.74;19,74;2
370;2022-10;210719.22;185873.01;13.37;13,37;3
370;2023-06;217883.51;205097.84;6.23;6,23;4
370;2022-09;185873.01;184246.72;0.88;0,88;5
372;2022-10;57759.71;37456.55;54.2;54,20;1
372;2022-11;79530.13;57759.71;37.69;37,69;2
372;2023-03;78582.17;60366.47;30.18;30,18;3
372;2023-01;74896.24;69867.89;7.2;7,20;4
372;2023-06;63446.58;60865.08;4.24;4,24;5
373;2023-01;66738.24;46854.56;42.44;42,44;1
373;2022-11;72443.13;54239.43;33.56;33,56;2
373;2023-03;57165.76;44403.16;28.74;28,74;3
373;2022-10;54239.43;45577.87;19.0;19,00;4
373;2023-05;47691.27;44527.91;7.1;7,10;5
374;2023-03;110559.05;78901.64;40.12;40,12;1
374;2023-05;100072.13;79947.08;25.17;25,17;2
374;2022-11;122335.94;98145.28;24.65;24,65;3
374;2023-06;111733.33;100072.13;11.65;11,65;4
374;2022-09;96438.02;93106.5;3.58;3,58;5
375;2022-10;35828.64;22982.16;55.9;55,90;1
375;2022-11;45072.02;35828.64;25.8;25,80;2
375;2022-12;49847.84;45072.02;10.6;10,60;3
375;2023-02;37787.15;35133.66;7.55;7,55;4
375;2023-04;37465.75;35195.47;6.45;6,45;5
376;2022-11;61052.78;33819.43;80.53;80,53;1
376;2023-05;43032.47;30857.73;39.45;39,45;2
376;2022-10;33819.43;28809.12;17.39;17,39;3
376;2023-03;39012.44;37078.51;5.22;5,22;4
376;2023-02;37078.51;40867.52;-9.27;-9,27;5
377;2022-11;62096.07;42077.38;47.58;47,58;1
377;2023-03;56105.77;44304.78;26.64;26,64;2
377;2022-09;34231.16;27032.37;26.63;26,63;3
377;2022-10;42077.38;34231.16;22.92;22,92;4
377;2023-05;52314.11;46453.29;12.62;12,62;5
378;2023-03;48382.72;30234.06;60.03;60,03;1
378;2022-09;40569.97;25755.56;57.52;57,52;2
378;2022-08;25755.56;16536.95;55.75;55,75;3
378;2022-11;56464.35;39314.0;43.62;43,62;4
378;2023-06;41911.28;39279.55;6.7;6,70;5
379;2023-03;48673.54;34677.77;40.36;40,36;1
379;2023-05;56344.36;40377.72;39.54;39,54;2
379;2022-11;48858.99;37948.99;28.75;28,75;3
379;2022-09;44133.55;37858.99;16.57;16,57;4
379;2022-12;53640.44;48858.99;9.79;9,79;5
380;2022-10;111294.72;82352.6;35.14;35,14;1
380;2023-03;95226.72;75614.75;25.94;25,94;2
380;2023-01;97076.31;86859.97;11.76;11,76;3
380;2023-05;83504.97;88494.17;-5.64;-5,64;4
380;2023-04;88494.17;95226.72;-7.07;-7,07;5
381;2023-03;193736.87;155776.87;24.37;24,37;1
381;2022-11;215604.28;191366.01;12.67;12,67;2
381;2022-10;191366.01;175114.44;9.28;9,28;3
381;2022-09;175114.44;162253.11;7.93;7,93;4
381;2023-01;188641.8;183678.0;2.7;2,70;5
382;2022-11;141012.22;116648.02;20.89;20,89;1
382;2023-02;107034.09;90506.96;18.26;18,26;2
382;2022-10;116648.02;105095.73;10.99;10,99;3
382;2023-04;101381.52;94296.02;7.51;7,51;4
382;2023-06;96820.29;92953.01;4.16;4,16;5
383;2023-06;38919.08;27231.66;42.92;42,92;1
383;2023-02;39988.53;28235.97;41.62;41,62;2
383;2022-10;34521.73;24377.24;41.61;41,61;3
383;2023-04;31703.95;22907.39;38.4;38,40;4
383;2022-11;46418.78;34521.73;34.46;34,46;5
384;2022-11;156365.56;111115.48;40.72;40,72;1
384;2022-09;116999.36;90636.63;29.09;29,09;2
384;2023-01;131105.59;121312.07;8.07;8,07;3
384;2023-05;120682.44;114130.52;5.74;5,74;4
384;2023-06;124092.29;120682.44;2.83;2,83;5
386;2022-11;126605.39;86475.43;46.41;46,41;1
386;2023-03;97757.23;92054.57;6.19;6,19;2
386;2023-01;99992.36;96170.71;3.97;3,97;3
386;2022-09;90924.35;87473.43;3.95;3,95;4
386;2023-05;95175.22;93432.61;1.87;1,87;5
387;2022-10;61498.01;48457.25;26.91;26,91;1
387;2022-12;77797.24;63717.49;22.1;22,10;2
387;2023-02;69965.6;59609.06;17.37;17,37;3
387;2023-04;63504.1;56033.99;13.33;13,33;4
387;2022-09;48457.25;43044.08;12.58;12,58;5
388;2022-10;67223.3;37934.79;77.21;77,21;1
388;2022-11;97731.4;67223.3;45.38;45,38;2
388;2023-03;57013.74;47272.8;20.61;20,61;3
388;2023-04;64140.41;57013.74;12.5;12,50;4
388;2023-06;76165.21;67898.98;12.17;12,17;5
389;2023-05;50102.2;36957.76;35.57;35,57;1
389;2022-11;35782.42;28111.46;27.29;27,29;2
389;2023-03;40672.04;33106.6;22.85;22,85;3
389;2023-02;33106.6;28384.63;16.64;16,64;4
389;2022-12;38939.05;35782.42;8.82;8,82;5
390;2023-06;155031.46;119713.99;29.5;29,50;1
390;2022-10;139198.08;109757.51;26.82;26,82;2
390;2023-03;114321.6;94202.89;21.36;21,36;3
390;2022-11;162817.89;139198.08;16.97;16,97;4
390;2023-05;119713.99;110717.39;8.13;8,13;5
391;2023-03;186482.11;131682.76;41.61;41,61;1
391;2022-10;214847.33;170804.99;25.79;25,79;2
391;2022-11;262360.51;214847.33;22.11;22,11;3
391;2023-01;261878.47;229075.01;14.32;14,32;4
391;2022-09;170804.99;162855.07;4.88;4,88;5
392;2022-11;272933.39;215851.99;26.44;26,44;1
392;2023-05;212643.22;185312.02;14.75;14,75;2
392;2022-10;215851.99;188990.77;14.21;14,21;3
392;2023-03;191701.59;173433.3;10.53;10,53;4
392;2023-01;237506.9;215681.51;10.12;10,12;5
393;2022-10;73619.88;55515.27;32.61;32,61;1
393;2022-11;95337.29;73619.88;29.5;29,50;2
393;2023-01;77673.02;67924.58;14.35;14,35;3
393;2023-05;70590.51;64486.35;9.47;9,47;4
393;2023-06;74433.36;70590.51;5.44;5,44;5
394;2022-11;146032.25;100107.78;45.88;45,88;1
394;2023-03;125599.74;95887.53;30.99;30,99;2
394;2023-01;139944.38;114296.49;22.44;22,44;3
394;2022-10;100107.78;85181.62;17.52;17,52;4
394;2022-09;85181.62;75192.22;13.29;13,29;5
395;2022-11;70335.79;42791.59;64.37;64,37;1
395;2023-04;48793.93;34029.42;43.39;43,39;2
395;2023-02;43214.69;32917.04;31.28;31,28;3
